ds,yhat,yhat_lower,yhat_upper
1962-01-02 05:00:00,0.05820687475149234,-2.1679029851585145,2.45646529905602
1962-01-03 05:00:00,0.0594888416251558,-2.2844145916566583,2.247830231431557
1962-01-04 05:00:00,0.042358973255834736,-2.317785228402298,2.2038808652278443
1962-01-05 05:00:00,0.047143156382269125,-2.1867644154789634,2.257645226174522
1962-01-08 05:00:00,0.026598745704306537,-2.3814683118968842,2.308119012981744
1962-01-09 05:00:00,0.01609634157406893,-2.3115059021256625,2.3353818929588837
1962-01-10 05:00:00,0.00996329089062982,-2.0913882341945396,2.2759472054944165
1962-01-11 05:00:00,-0.014350875664531353,-2.369144423057525,2.288298189116977
1962-01-12 05:00:00,-0.016330747921060776,-2.3883598351812734,2.2446022673225583
1962-01-15 05:00:00,-0.05286500662637279,-2.2152496308738763,2.1557131969159067
1962-01-16 05:00:00,-0.06674115072612527,-2.332730722710709,2.3009671469309185
1962-01-17 05:00:00,-0.07505956737378704,-2.3902376143464297,2.2739292272436904
1962-01-18 05:00:00,-0.10028263357207737,-2.2936036248734886,2.068191594665583
1962-01-19 05:00:00,-0.10183611701700948,-2.368769222108674,2.1497809629567386
1962-01-22 05:00:00,-0.12896270219323946,-2.433147638290413,2.2113457863194728
1962-01-23 05:00:00,-0.13711493982884046,-2.39977071713992,2.204751457960409
1962-01-24 05:00:00,-0.1385542006384805,-2.4364718069250726,2.1526704532249283
1962-01-25 05:00:00,-0.1558693796233521,-2.4115819028883156,1.9182029139107513
1962-01-26 05:00:00,-0.14863785836885487,-2.3244920462143206,2.10490167206348
1962-01-29 05:00:00,-0.14596116229856124,-2.4075541493562915,2.0092295517835757
1962-01-30 05:00:00,-0.1437033064422596,-2.5046597937395347,2.185363517344554
1962-01-31 05:00:00,-0.1348492097783652,-2.2073521093143573,2.018020153050489
1962-02-01 05:00:00,-0.14220057993245597,-2.3406321663384437,2.376248601077097
1962-02-02 05:00:00,-0.125540620528842,-2.500372419125626,2.1528999992695192
1962-02-05 05:00:00,-0.09964540397109128,-2.35035727373866,2.2905324741143116
1962-02-06 05:00:00,-0.09185787173210011,-2.3164510135182783,2.22929245429279
1962-02-07 05:00:00,-0.07877848267983775,-2.2488214713700527,2.2363049943073072
1962-02-08 05:00:00,-0.08328635647847177,-2.4228503580823486,2.0885051455694077
1962-02-09 05:00:00,-0.06521143829117988,-2.176373043974916,2.2072255290524847
1962-02-12 05:00:00,-0.04363873562343964,-2.4125254082582366,1.9833286208930376
1962-02-13 05:00:00,-0.03999278949220342,-2.2415677237422797,2.3325656909961414
1962-02-14 05:00:00,-0.032255981444174964,-2.2357710615635544,2.2311689842066356
1962-02-15 05:00:00,-0.04317956173028572,-2.220390616048324,2.3830549104615333
1962-02-16 05:00:00,-0.03244443093515239,-2.1880069833053546,2.348145221751617
1962-02-19 05:00:00,-0.036707562444088765,-2.278542630417,2.388988227762817
1962-02-20 05:00:00,-0.04231978422641417,-2.382672512389405,2.1279187160223767
1962-02-21 05:00:00,-0.04384157845856251,-2.193073680825104,2.2709886454939094
1962-02-23 05:00:00,-0.061795318234819326,-2.3114152255674405,2.1859667459454766
1962-02-26 05:00:00,-0.0882887327463794,-2.525017630478106,2.1994654211266065
1962-02-27 05:00:00,-0.09956946708392257,-2.5633277228142424,1.995276549891651
1962-02-28 05:00:00,-0.10571326780560415,-2.257797396383182,2.277949020664593
